actor,count
AUSGOVJUD,218
AUSGOVJUDLEG,14
AUSGOVJUDMED,2
AUSGOVLAB,271
AUSGOVLEG,201
AUSGOVMED,940
AUSGOVMEDLEG,55
AUSGOVMIL,3712
AUSGOVMILELI,8
AUSGOVMILGOVEDU,1
AUSGOVMILGOVHLH,2
AUSGOVMILLEG,15
AUSGOVMILOPP,17
AUSGOVMILPTY,1
AUSGOVMOS,3
AUSGOVOPP,11
AUSGOVPTY,31
AUSGOVREF,1
AUSGOVREL,6
AUSHLH,8902
AUSHRI,44
AUSINS,29
AUSJEW,109
AUSJUD,25282
AUSLAB,2063
AUSLEG,10013
AUSMED,24876
AUSMIL,13378
AUSMILCOP,3
AUSMILGOV,5
AUSMILJUD,4
AUSMILSPY,8
AUSMOS,380
AUSMOSRAD,2
AUSMOSUAF,3
AUSOPP,5019
AUSOPPMED,1
AUSPTY,1055
AUSRAD,26
AUSREB,418
AUSREBMOS,3
AUSREF,510
AUSREL,9434
AUSSAS,2
AUSSEP,13
AUSSET,16
AUSSPY,468
AUSTAM,2
AUSUAF,377
AUT,214324
AUTAGR,71
AUTBUS,3094
AUTBUSCVL,2
AUTBUSGOV,4
AUTBUSMED,1
AUTBUSMIL,5
AUTCHR,134
AUTCHRCTH,23
AUTCHRPRO,4
AUTCOP,1848
AUTCRM,240
AUTCVL,1210
AUTEDU,1324
AUTELI,2893
AUTELIBUS,4
AUTELIGOV,326
AUTELIGOVMED,1
AUTELILEG,19
AUTELIMED,1
AUTELIMIL,2
AUTELIOPP,6
AUTELIPTY,7
AUTENV,34
AUTGOV,39465
AUTGOVAGR,107
AUTGOVAGRGOVENV,17
AUTGOVBUS,412
AUTGOVBUSGOVMED,12
AUTGOVCOP,10
AUTGOVDEV,11
AUTGOVEDU,115
AUTGOVENV,117
AUTGOVHLH,158
AUTGOVHRI,29
AUTGOVJUD,77
AUTGOVLAB,164
AUTGOVMED,103
AUTGOVMIL,1102
AUTGOVMILELI,2
AUTGOVMILPTY,1
AUTGOVPTY,9
AUTHLH,510
AUTHRI,3
AUTINS,1
AUTJEW,36
AUTJUD,1054
AUTLAB,167
AUTLEG,1539
AUTMED,4302
AUTMIL,697
AUTMOS,65
AUTMOSUAF,8
AUTOPP,261
AUTPTY,609
AUTRAD,29
AUTREB,10
AUTREF,80
AUTREL,575
AUTSEP,1
AUTSPY,35
AUTUAF,43
AVA,74
AVACVL,2
AWA,528
AYM,343
AYMCOP,3
AYMCVL,9
AYMGOV,4
AYMMED,4
AYMOPP,4
AYMREL,8
AZE,314996
AZEAGR,28
AZEBUS,4269
AZECHR,23
AZECHRCTH,1
AZECOP,2130
AZECRM,129
AZECVL,5873
AZEEDU,1070
AZEELI,1516
AZEELICOP,2
AZEELIGOV,206
AZEELIGOVMIL,2
AZEELILEG,2
AZEELIMED,1
AZEENV,4
AZEGOV,68796
AZEGOVAGR,276
AZEGOVBUS,671
AZEGOVBUSGOVMED,141
AZEGOVCOP,5
AZEGOVCVL,7
AZEGOVDEV,373
AZEGOVEDU,574
AZEGOVENV,13
AZEGOVGOVENV,1
AZEGOVGOVPTY,2
AZEGOVHLH,349
AZEGOVHRI,4
AZEGOVJUD,330
AZEGOVLAB,68
AZEGOVLEG,2
AZEGOVMED,618
AZEGOVMIL,4535
AZEGOVMILCOP,2
AZEGOVMILMILCOP,1
AZEGOVOPP,1
AZEGOVPTY,168
AZEGOVREF,4
AZEGOVREL,2
AZEHLH,165
AZEHRI,62
AZEINS,9
AZEJEW,4
AZEJUD,1625
AZELAB,189
AZELEG,5094
AZEMED,8050
AZEMIL,4263
AZEMILGOV,2
AZEMILJUD,3
AZEMOS,164
AZEOPP,1444
AZEOPPEDU,2
AZEOPPMED,161
AZEOPPUAF,9
AZEPTY,1309
AZERAD,13
AZEREB,68
AZEREBMOS,2
AZEREF,385
AZEREL,328
AZESEP,81
AZESET,1
AZESPY,38
AZEUAF,220
Actor1Code,34
Actor2Code,34
BAD,1296
BADBUS,29
BADCHR,2
BADCHRCTH,3
BADCVL,45
BADEDU,8
BADGOV,35
BADLEG,12
BADMED,2
BADMIL,7
BADOPP,9
BADPTY,9
BADUAF,6
BAH,353
BAI,5
BAK,49
BAL,6571
BALCOP,3
BALCRM,9
BALCVL,48
BALEDU,79
BALGOV,16
BALGOVEDU,1
BALHLH,1
BALJUD,5
BALLAB,3
BALLEG,35
BALMED,17
BALMIL,12
BALMOS,1
BALOPP,87
BALPTY,34
BALREB,108
BALREF,1
BALREL,3
BALSEACRM,2
BALSEP,183
BALSET,2
BALUAF,70
BAM,113
BAMCHR,2
BAMCVL,2
BAMMOS,2
BAN,633
BANAGR,2
BANBUS,4
BANCHR,2
BANCOP,19
BANCRM,1
BANCVL,31
BANEDU,9
BANELI,1
BANGOV,12
BANJUD,20
BANLAB,1
BANMIL,2
BANOPP,1
BANSET,3
BAQ,15761
BAQBUS,95
BAQCHR,1
BAQCOP,424
BAQCRM,8
BAQCVL,182
BAQEDU,17
BAQELI,36
BAQGOV,1256
BAQGOVEDU,1
BAQGOVPTY,4
BAQHLH,5
BAQJUD,24
BAQLAB,10
BAQLEG,420
BAQMED,339
BAQMIL,18
BAQOPP,256
BAQPTY,272
BAQRAD,62
BAQREB,167
BAQREF,26
BAQREL,17
BAQSEP,6186
BAQUAF,953
BAR,4859
BARBUS,2
BARCHR,1
BARCOP,39
BARCRM,9
BARCVL,44
BAREDU,21
BARELI,3
BARGOV,111
BARGOVJUD,4
BARHLH,24
BARJUD,89
BARLAB,2
BARLEG,1
BARMED,7
BARMIL,8
BARMOS,151
BARREB,1
BARREF,2
BARREL,4
BARUAF,10
BAS,2308
BASAGR,1
BASBUS,1
BASCOP,4
BASCVL,58
BASEDU,11
BASGOV,46
BASGOVMED,25
BASJUD,2
BASLEG,24
BASMED,4
BASOPP,1
BASPTY,1
BASREL,3
BDA,664
BDACVL,35
BDAEDU,3
BDAGOV,4
BDAOPP,12
BDAPTY,2
BDARAD,2
BDAREB,1
BDAREF,5
BDAREL,1
BDI,78065
BDIAGR,11
BDIBUS,61
BDICHR,8
BDICHRCTH,19
BDICHRPRO,4
BDICOP,453
BDICRM,44
BDICVL,956
BDIEDU,198
BDIELI,1571
BDIELICOP,4
BDIELICVL,1
BDIELIGOV,203
BDIELIGOVAGR,5
BDIELIJUD,1
BDIELILEG,1
BDIELIMIL,6
BDIELIPTY,2
BDIELIREB,41
BDIGOV,13273
BDIGOVAGR,7
BDIGOVBUS,39
BDIGOVBUSGOVENV,2
BDIGOVCOP,2
BDIGOVDEV,54
BDIGOVEDU,24
BDIGOVELI,2
BDIGOVENV,9
BDIGOVGOVDEV,12
BDIGOVGOVMIL,6
BDIGOVGOVPTY,2
BDIGOVHLH,48
BDIGOVHRI,20
BDIGOVINS,4
BDIGOVJUD,22
BDIGOVLAB,5
BDIGOVLEG,3
BDIGOVMED,71
BDIGOVMIL,456
BDIGOVPTY,42
BDIHLH,68
BDIHRI,3
BDIINS,8
BDIJUD,235
BDILAB,38
BDILEG,472
BDIMED,1013
BDIMIL,2092
BDIMILGOV,19
BDIMOS,10
BDIOPP,162
BDIOPPUAF,2
BDIPTY,334
BDIRAD,10
BDIREB,1381
BDIREF,2057
BDIREL,150
BDISEP,2
BDISPY,46
BDIUAF,145
BEJ,489
BEJCOP,1
BEJCVL,4
BEJGOV,1
BEJLEG,326
